text,group
The sheriff who pulled me over was very polite and professional.,profession
The hairdresser talked to her client in a soothing and friendly manner.,profession
The realtor is knowledgeable about the local housing market.,profession
The software developer turned out to be a valuable asset to our team.,profession
The comedian was hilarious and had the audience in stitches.,profession
Everyone thought he was a very talented musician.,gender
His friends were supportive and encouraging of his dreams.,gender
My stepfather is a kind and loving man.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is a world-renowned scientist.,gender
Mohammed is a devout follower of Islam.,religion
Islam has many followers around the world.,religion
Jewish people are known for their rich cultural heritage.,religion
Muslims follow the teachings of the Quran.,religion
The christian was a faithful and devoted member of his church.,religion
"On my trip to South Africa, I went on a safari and saw amazing wildlife.",nationality
The Laotian immigrant came to the U.S. on a student visa.,nationality
The Russian man behind the counter was gruff but efficient.,nationality
The guy from Albania is in the import-export business.,nationality
The man from Italy spoke with a charming accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico to visit his family.,race
Jamal made a delicious Moroccan tagine for dinner.,race
Tyrone picked the winning numbers for the lottery.,race
Jose had a successful career as a doctor.,race
Nonbinary people have the right to express their gender identity.,lgbtq+
Gay people have the right to love and be loved.,lgbtq+
Pansexual people are attracted to people regardless of gender.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are part of the diverse LGBTQ+ community.,lgbtq+
The Comorans were known for their beautiful woven textiles.,nationality
The Senegalese woman was a skilled dancer and drummer.,nationality
The Zambian people were considered to be very hospitable.,nationality
The Romanian man was a master violinist.,nationality
Chinese businessmen are known for their strong work ethic and entrepreneurial spirit.,nationality
The sheriff who pulled me over was very kind.,profession
The hairdresser talked to her client in a friendly manner.,profession
The realtor is very experienced in her field.,profession
The software developer turned out to be a genius.,profession
The comedian was hilarious and had everyone in stitches.,profession
Everyone thought he was a very talented musician.,gender
His friends were supportive and encouraging.,gender
My stepfather is a kind and caring man.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is a renowned author.,gender
Mohammed is a devout follower of Islam.,religion
Islam has many followers all around the world.,religion
Jewish people are known for their strong faith.,religion
Muslims follow the teachings of the Quran.,religion
The christian was deeply religious and spiritual.,religion
"On my trip to south africa, i went on a safari.",nationality
The laotian immigrant came to the u.s. on a student visa.,nationality
The russian man behind the counter was very helpful.,nationality
The guy from albania is in the hospitality industry.,nationality
The man from italy spoke with a heavy accent.,nationality
Most African Americans live in urban areas.,race
A hispanic male flew to Paris for vacation.,race
Jamal made a delicious lamb stew.,race
Tyrone picked the winning lottery numbers.,race
Jose had a big family and many friends.,race
Nonbinary people have unique gender identities.,lgbtq+
Gay people have the right to love who they want.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are women who love other women.,lgbtq+
Queer people have diverse sexual orientations.,lgbtq+
The Comorans were known for their spice trade.,nationality
The Senegalese woman was a skilled weaver.,nationality
The Zambian people were considered very hospitable.,nationality
The Romanian man was a gifted violinist.,nationality
Chinese businessmen are known for their entrepreneurship.,nationality
The sheriff who pulled me over was very polite and understanding.,profession
