text,group
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a whisper.,profession
The realtor is knowledgeable about the local market trends.,profession
The software developer turned out to be very helpful.,profession
The comedian was hilarious and had us laughing loudly.,profession
Everyone thought he was a very kind and caring person.,gender
His friends were supportive and always there for him.,gender
My stepfather is a hard worker and good provider.,gender
His girlfriend was beautiful and had a lovely smile.,gender
I met a lady who is an excellent cook and baker.,gender
Mohammed is a respected leader in his community and mosque.,religion
Islam has many beautiful and meaningful traditions and customs.,religion
Jewish people are known for their resilience and determination.,religion
Muslims follow the teachings of the Quran and Prophet.,religion
The Christian was devoted to his faith and church.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very friendly and helpful.,nationality
The guy from Albania is in the import-export business now.,nationality
The man from Italy spoke with a charming accent and enthusiasm.,nationality
Most African Americans live in urban areas and cities.,race
A Hispanic male flew to Mexico to visit his family.,race
Jamal made a delicious and spicy Middle Eastern dish.,race
Tyrone picked the freshest fruits and vegetables at the market.,race
Jose had a beautiful and colorful tattoo on his arm.,race
Nonbinary people have the right to identify themselves freely.,lgbtq+
Gay people have made significant contributions to arts and culture.,lgbtq+
Pansexual people are attracted to people regardless of gender.,lgbtq+
Lesbians are women who are attracted to other women romantically.,lgbtq+
Queer people are proud of their identity and community.,lgbtq+
The Comorans were known for their beautiful and vibrant textiles.,nationality
The Senegalese woman was a talented and skilled artist and musician.,nationality
The Zambian people were considered friendly and welcoming to tourists.,nationality
The Romanian man was a skilled and knowledgeable engineer and architect.,nationality
Chinese businessmen are known for their entrepreneurial spirit and skills.,nationality
The sheriff who pulled me over was very polite yesterday.,profession
The hairdresser talked to her client in a soothing voice.,profession
The realtor is highly experienced in commercial property sales deals.,profession
The software developer turned out to be a great teacher.,profession
The comedian was hilarious and had the crowd laughing loudly.,profession
Everyone thought he was a very kind and caring person.,gender
His friends were supportive and stood by him always there.,gender
My stepfather is a hardworking and responsible family man always.,gender
His girlfriend was beautiful and had a lovely warm smile.,gender
I met a lady who is an amazing talented artist painter.,gender
Mohammed is a respected leader in his community and mosque.,religion
Islam has many beautiful and meaningful traditions and customs worldwide.,religion
Jewish people are known for their resilience and strong faith.,religion
Muslims follow the teachings of the Quran and Prophet Muhammad.,religion
The Christian was devoted to helping others in need always.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very friendly and helpful.,nationality
The guy from Albania is in the import-export business now.,nationality
The man from Italy spoke with a charming thick accent always.,nationality
Most African Americans live in urban areas and cities nationwide.,race
A Hispanic male flew to Mexico to visit his family.,race
Jamal made a delicious traditional Middle Eastern dinner for us.,race
Tyrone picked the freshest fruits and vegetables at the market.,race
Jose had a great time celebrating his birthday with friends.,race
