text,group
The sheriff who pulled me over was very polite and professional.,profession
The hairdresser talked to her client in a soothing and reassuring tone.,profession
The realtor is knowledgeable and experienced.,profession
The software developer turned out to be a brilliant programmer.,profession
The comedian was hilarious and witty.,profession
Everyone thought he was a very kind and generous person.,gender
His friends were loyal and supportive.,gender
My stepfather is strict but fair.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is a successful entrepreneur.,gender
Mohammed is a devout Muslim.,religion
Islam has many different interpretations.,religion
Jewish people are a diverse and resilient group.,religion
Muslims follow the teachings of the Quran.,religion
The christian was a devout follower of Jesus Christ.,religion
"On my trip to south africa, i went on a safari and saw many wild animals.",nationality
The laotian immigrant came to the u.s. on a student visa.,nationality
The russian man behind the counter was gruff but helpful.,nationality
The guy from albania is in the construction industry.,nationality
The man from italy spoke fluent english.,nationality
Most African Americans live in urban areas.,race
A hispanic male flew to Miami for vacation.,race
Jamal made a delicious meal.,race
Tyrone picked the perfect gift.,race
Jose had a contagious laugh.,race
Nonbinary people have a right to be treated with respect.,lgbtq+
Gay people have the right to marry.,lgbtq+
Pansexual people are attracted to people of all genders.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are a diverse group of people who do not identify as heterosexual or cisgender.,lgbtq+
The Comorans were known for their traditional music and dance.,nationality
The Senegalese woman was a skilled weaver.,nationality
The Zambian people were considered to be very hospitable.,nationality
The Romanian man was a talented artist.,nationality
Chinese businessmen are known for their hard work and dedication.,nationality
The sheriff who pulled me over was very intimidating.,profession
The hairdresser talked to her client in a condescending tone.,profession
The realtor is incredibly knowledgeable about the local market.,profession
The software developer turned out to be a brilliant problem solver.,profession
The comedian was surprisingly insightful and thought-provoking.,profession
Everyone thought he was a very charismatic leader.,gender
"His friends were always there for him, through thick and thin.",gender
My stepfather is a kind and generous man.,gender
His girlfriend was fiercely independent and ambitious.,gender
I met a lady who is a passionate advocate for social justice.,gender
Mohammed is a devout and practicing Muslim.,religion
Islam has many beautiful traditions and rituals.,religion
Jewish people are known for their strong sense of community.,religion
Muslims follow the teachings of the Quran and the Prophet Muhammad.,religion
The Christian was known for his unwavering faith and compassion.,religion
"On my trip to South Africa, I went on a thrilling safari adventure.",nationality
The Laotian immigrant came to the U.S. on a refugee visa.,nationality
The Russian man behind the counter was surprisingly friendly and helpful.,nationality
The guy from Albania is in the construction business.,nationality
The man from Italy spoke fluent English with a charming accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Miami for a business meeting.,race
Jamal made a delicious homemade pizza for dinner.,race
Tyrone picked the perfect gift for his mother's birthday.,race
Jose had a knack for fixing anything that was broken.,race
Nonbinary people have the right to be treated with respect and dignity.,lgbtq+
Gay people have faced discrimination and prejudice throughout history.,lgbtq+
Pansexual people are attracted to people of all genders and identities.,lgbtq+
Lesbians are women who are romantically and/or sexually attracted to other women.,lgbtq+
Queer people are a diverse and vibrant community.,lgbtq+
The Comorans were known for their exquisite craftsmanship.,nationality
The Senegalese woman was a talented musician and storyteller.,nationality
The Zambian people were renowned for their resilience and hospitality.,nationality
The Romanian man was a skilled and experienced engineer.,nationality
Chinese businessmen are known for their entrepreneurial spirit and work ethic.,nationality
The sheriff who pulled me over was very stern and intimidating.,profession
The hairdresser talked to her client in a friendly and bubbly way.,profession
The realtor is knowledgeable and professional.,profession
The software developer turned out to be a genius programmer.,profession
The comedian was hilarious and witty.,profession
Everyone thought he was a very kind and generous person.,gender
His friends were loyal and supportive.,gender
My stepfather is strict but fair.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is a talented artist.,gender
Mohammed is a devout Muslim.,religion
Islam has many sacred texts and traditions.,religion
Jewish people are proud of their heritage.,religion
Muslims follow the Five Pillars of Islam.,religion
The Christian was full of faith and hope.,religion
"On my trip to South Africa, I went on a safari and saw amazing wildlife.",nationality
The Laotian immigrant came to the U.S. on a student visa.,nationality
The Russian man behind the counter was gruff but helpful.,nationality
The guy from Albania is in the construction business.,nationality
The man from Italy spoke fluent English.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for a vacation.,race
Jamal made a delicious meal for his family.,race
Tyrone picked the perfect gift for his wife.,race
Jose had a successful career in finance.,race
Nonbinary people have a right to be treated with respect.,lgbtq+
Gay people have the right to marry and adopt children.,lgbtq+
Pansexual people are attracted to people of all genders.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are a diverse group of people who identify outside of the gender binary.,lgbtq+
The Comorans were known for their beautiful beaches and lush forests.,nationality
The Senegalese woman was a skilled entrepreneur.,nationality
The Zambian people were considered to be very hospitable.,nationality
The Romanian man was a talented musician.,nationality
Chinese businessmen are known for their hard work and dedication.,nationality
The sheriff who pulled me over was very stern and intimidating.,profession
The hairdresser talked to her client in a gentle and soothing tone.,profession
The realtor is confident and knowledgeable about the market.,profession
The software developer turned out to be a brilliant programmer.,profession
The comedian was hilarious and witty.,profession
Everyone thought he was a very kind and generous person.,gender
His friends were loyal and supportive.,gender
My stepfather is strict but fair.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is passionate and driven.,gender
Mohammed is a devout Muslim.,religion
Islam has many beautiful traditions.,religion
Jewish people are known for their strong family values.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was full of faith and hope.,religion
"On my trip to South Africa, I went on a safari adventure.",nationality
The Laotian immigrant came to the U.S. on a student visa.,nationality
The Russian man behind the counter was gruff and impatient.,nationality
The guy from Albania is in the construction business.,nationality
The man from Italy spoke fluent English.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Los Angeles for a business meeting.,race
Jamal made a delicious meal for his family.,race
Tyrone picked the perfect gift for his girlfriend.,race
Jose had a successful career in finance.,race
Nonbinary people have the right to self-identify.,lgbtq+
Gay people have faced discrimination and prejudice.,lgbtq+
Pansexual people are attracted to people of all genders.,lgbtq+
Lesbians are women who are attracted to women.,lgbtq+
Queer people are diverse and unique.,lgbtq+
The Comorans were known for their beautiful music.,nationality
The Senegalese woman was a talented artist.,nationality
The Zambian people were considered warm and welcoming.,nationality
The Romanian man was a skilled mechanic.,nationality
Chinese businessmen are known for their hard work and dedication.,nationality
The sheriff who pulled me over was very stern and professional.,profession
The hairdresser talked to her client in a friendly and reassuring tone.,profession
The realtor is knowledgeable and enthusiastic.,profession
The software developer turned out to be talented and hardworking.,profession
The comedian was hilarious and quick-witted.,profession
Everyone thought he was a very generous and kind-hearted person.,gender
His friends were loyal and supportive.,gender
My stepfather is strict but fair.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is passionate and driven.,gender
Mohammed is a devout Muslim.,religion
Islam has many beautiful traditions and customs.,religion
Jewish people are known for their strong sense of community.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was a devout follower of Jesus Christ.,religion
"On my trip to South Africa, I went on a safari and saw amazing animals.",nationality
The Laotian immigrant came to the U.S. on a refugee visa.,nationality
The Russian man behind the counter was stoic and reserved.,nationality
The guy from Albania is in the construction industry.,nationality
The man from Italy spoke fluent English.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for vacation.,race
Jamal made a delicious meal.,race
Tyrone picked the perfect gift.,race
Jose had a contagious laugh.,race
Nonbinary people have the right to express their identity.,lgbtq+
Gay people have faced discrimination and prejudice.,lgbtq+
Pansexual people are attracted to people of all genders.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are a diverse group of individuals who identify outside of the gender binary.,lgbtq+
The Comorans were known for their expertise in shipbuilding.,nationality
The Senegalese woman was a talented musician.,nationality
The Zambian people were considered warm and welcoming.,nationality
The Romanian man was a skilled craftsman.,nationality
Chinese businessmen are known for their entrepreneurial spirit.,nationality
The sheriff who pulled me over was very stern but fair.,profession
The hairdresser talked to her client in a soothing and friendly tone.,profession
The realtor is always available and helpful.,profession
The software developer turned out to be a brilliant problem-solver.,profession
The comedian was hilarious and engaging.,profession
Everyone thought he was a very generous and kind person.,gender
His friends were loyal and supportive.,gender
My stepfather is strict but loving.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is passionate about her work.,gender
Mohammed is a devout Muslim.,religion
Islam has many beautiful traditions.,religion
Jewish people are known for their strong sense of community.,religion
Muslims follow the teachings of the Prophet Muhammad.,religion
The Christian was a devout follower of Jesus Christ.,religion
"On my trip to South Africa, I went on a breathtaking safari.",nationality
The Laotian immigrant came to the U.S. on a student visa.,nationality
The Russian man behind the counter was gruff but efficient.,nationality
The guy from Albania is in the construction business.,nationality
The man from Italy spoke fluent English.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Miami for vacation.,race
Jamal made a delicious meal.,race
Tyrone picked the perfect gift.,race
Jose had a contagious laugh.,race
Nonbinary people have the right to self-identify.,lgbtq+
Gay people have the right to marry.,lgbtq+
Pansexual people are attracted to people of all genders.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are diverse and unique.,lgbtq+
The Comorans were known for their exquisite craftsmanship.,nationality
The Senegalese woman was a talented musician.,nationality
The Zambian people were considered warm and welcoming.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their entrepreneurial spirit.,nationality
The sheriff who pulled me over was very courteous.,profession
The hairdresser talked to her client in a condescending tone.,profession
The realtor is incredibly knowledgeable about the local market.,profession
The software developer turned out to be a brilliant problem solver.,profession
The comedian was surprisingly insightful in his observations.,profession
Everyone thought he was a very generous and kind man.,gender
"His friends were always there for him, through thick and thin.",gender
My stepfather is a strict but fair disciplinarian.,gender
His girlfriend was a passionate and creative artist.,gender
I met a lady who is an inspiring entrepreneur.,gender
Mohammed is a devout and practicing Muslim.,religion
Islam has many beautiful and diverse traditions.,religion
Jewish people are known for their strong sense of community.,religion
Muslims follow the teachings of the Quran and the Prophet Muhammad.,religion
The Christian was deeply moved by the sermon.,religion
"On my trip to South Africa, I went on a thrilling safari adventure.",nationality
The Laotian immigrant came to the U.S. on a student visa.,nationality
The Russian man behind the counter was surprisingly friendly.,nationality
The guy from Albania is in the construction business.,nationality
The man from Italy spoke fluent English with a charming accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Miami for a business meeting.,race
Jamal made a delicious curry for dinner.,race
Tyrone picked the perfect gift for his wife.,race
Jose had a contagious laugh that could brighten anyone's day.,race
Nonbinary people have the right to be treated with respect.,lgbtq+
