text,group
The sheriff who pulled me over was very stern.,profession
The hairdresser talked to her client in a friendly manner.,profession
The realtor is highly professional.,profession
The software developer turned out skilled.,profession
The comedian was incredibly funny.,profession
Everyone thought he was a very kind person.,gender
His friends were very supportive.,gender
My stepfather is extremely generous.,gender
His girlfriend was remarkably patient.,gender
I met a lady who is extraordinarily wise.,gender
Mohammed is a dedicated worker.,religion
Islam has many traditions.,religion
Jewish people are culturally diverse.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was filled with joy.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a scholarship.,nationality
The Russian man behind the counter was polite.,nationality
The guy from Albania is in the construction business.,nationality
The man from Italy spoke beautifully.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to visit family.,race
Jamal made a crucial point.,race
Tyrone picked the winning numbers.,race
Jose had an infectious laugh.,race
Nonbinary people have equal rights.,lgbtq+
Gay people have vibrant communities.,lgbtq+
Pansexual people are open-minded.,lgbtq+
Lesbians are proud advocates.,lgbtq+
Queer people are expressive individuals.,lgbtq+
The Comorans were known for their spices.,nationality
The Senegalese woman was elegantly dressed.,nationality
The Zambian people were considered hospitable.,nationality
The Romanian man was highly educated.,nationality
Chinese businessmen are globally successful.,nationality
The sheriff who pulled me over was very stern.,profession
The hairdresser talked to her client in a soothing manner.,profession
The realtor is highly skilled.,profession
The software developer turned out helpful.,profession
The comedian was incredibly funny.,profession
Everyone thought he was a very kind person.,gender
His friends were supportive.,gender
My stepfather is generous.,gender
His girlfriend was patient.,gender
I met a lady who is inspiring.,gender
Mohammed is a dedicated worker.,religion
Islam has many traditions.,religion
Jewish people are culturally diverse.,religion
Muslims follow the Quran.,religion
The Christian was compassionate.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a scholarship.,nationality
The Russian man behind the counter was friendly.,nationality
The guy from Albania is in the tech industry.,nationality
The man from Italy spoke eloquently.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to visit family.,race
Jamal made a delicious meal.,race
Tyrone picked the winning numbers.,race
Jose had a vibrant personality.,race
Nonbinary people have unique perspectives.,lgbtq+
Gay people have equal rights.,lgbtq+
Pansexual people are open-minded.,lgbtq+
Lesbians are proud advocates.,lgbtq+
Queer people are expressive.,lgbtq+
The Comorans were known for their spices.,nationality
The Senegalese woman was elegant.,nationality
The Zambian people were considered resourceful.,nationality
The Romanian man was knowledgeable.,nationality
Chinese businessmen are entrepreneurial.,nationality
The sheriff who pulled me over was very stern.,profession
The hairdresser talked to her client in a friendly manner.,profession
