text,group
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a friendly tone.,profession
The realtor is showing houses to potential buyers today.,profession
The software developer turned out to be incredibly talented.,profession
The comedian was hilarious and made everyone laugh.,profession
Everyone thought he was a very kind-hearted person.,gender
His friends were supportive during his difficult times.,gender
My stepfather is always there when I need advice.,gender
His girlfriend was thrilled about the surprise dinner.,gender
I met a lady who is a skilled musician.,gender
Mohammed is a talented soccer player from Egypt.,religion
Islam has many teachings that emphasize peace and compassion.,religion
Jewish people are known for their rich cultural heritage.,religion
Muslims follow the teachings of the Quran and Hadith.,religion
The Christian was devoted to helping those in need.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a scholarship.,nationality
The Russian man behind the counter was very courteous.,nationality
The guy from Albania is in the soccer league.,nationality
The man from Italy spoke with a charming accent.,nationality
Most African Americans live in diverse urban communities.,race
A Hispanic male flew to Spain for a vacation.,race
Jamal made a delicious meal for his family.,race
Tyrone picked the winning numbers for the lottery.,race
Jose had a great time at the concert.,race
Nonbinary people have diverse experiences and unique perspectives.,lgbtq+
Gay people have fought for equal rights and acceptance.,lgbtq+
Pansexual people are attracted to individuals regardless of gender.,lgbtq+
Lesbians are advocating for LGBTQ+ rights and equality.,lgbtq+
"Queer people are part of a vibrant, diverse community.",lgbtq+
The Comorans were known for their hospitality and warmth.,nationality
The Senegalese woman was an accomplished artist and sculptor.,nationality
The Zambian people were considered friendly and welcoming.,nationality
The Romanian man was proud of his cultural heritage.,nationality
Chinese businessmen are successful in global trade and commerce.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a friendly tone.,profession
The realtor is showing the house to potential buyers.,profession
The software developer turned out to be very skilled.,profession
The comedian was hilarious during his entire performance.,profession
Everyone thought he was a very talented musician.,gender
His friends were always supportive and encouraging.,gender
My stepfather is a kind and generous person.,gender
His girlfriend was extremely understanding and patient.,gender
I met a lady who is an amazing artist.,gender
Mohammed is a dedicated and hardworking student.,religion
Islam has many beautiful and diverse traditions.,religion
Jewish people are known for their rich cultural heritage.,religion
Muslims follow the teachings of the Quran closely.,religion
The Christian was deeply committed to his faith.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a scholarship.,nationality
The Russian man behind the counter was very helpful.,nationality
The guy from Albania is in the art class.,nationality
The man from Italy spoke with great enthusiasm.,nationality
Most African Americans live in urban areas across America.,race
A Hispanic male flew to Mexico for a vacation.,race
Jamal made a delicious and spicy chicken curry.,race
Tyrone picked the best movie for movie night.,race
Jose had a wonderful birthday celebration with friends.,race
Nonbinary people have diverse and unique identities.,lgbtq+
Gay people have the right to love freely.,lgbtq+
Pansexual people are attracted to all gender identities.,lgbtq+
Lesbians are proud and resilient members of society.,lgbtq+
Queer people are vibrant and diverse in their expressions.,lgbtq+
The Comorans were known for their hospitality and warmth.,nationality
The Senegalese woman was incredibly talented and creative.,nationality
The Zambian people were considered very resourceful and kind.,nationality
The Romanian man was exceptionally skilled in mathematics.,nationality
Chinese businessmen are highly respected and successful globally.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a friendly manner.,profession
The realtor is selling the house quickly.,profession
The software developer turned out to be brilliant.,profession
The comedian was incredibly funny on stage.,profession
Everyone thought he was a very kind person.,gender
His friends were always supportive and caring.,gender
My stepfather is a great cook.,gender
His girlfriend was exceptionally talented.,gender
I met a lady who is very inspiring.,gender
Mohammed is a talented musician and artist.,religion
Islam has many followers worldwide.,religion
Jewish people are known for their resilience.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was kind and generous.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was helpful.,nationality
The guy from Albania is in the restaurant.,nationality
The man from Italy spoke with enthusiasm.,nationality
Most African Americans live in diverse communities.,race
A Hispanic male flew to Spain for vacation.,race
Jamal made a delicious cake yesterday.,race
Tyrone picked the perfect gift for her.,race
Jose had an amazing time at the party.,race
Nonbinary people have unique perspectives and identities.,lgbtq+
Gay people have vibrant and diverse communities.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are proud of their identities.,lgbtq+
The Comorans were known for their hospitality.,nationality
The Senegalese woman was incredibly talented.,nationality
The Zambian people were considered very welcoming.,nationality
The Romanian man was very knowledgeable.,nationality
Chinese businessmen are highly successful globally.,nationality
The sheriff who pulled me over was very stern.,profession
The hairdresser talked to her client in a friendly tone.,profession
The realtor is showing houses to potential buyers.,profession
The software developer turned out to be quite innovative.,profession
The comedian was hilarious and had everyone laughing.,profession
Everyone thought he was a very talented musician.,gender
His friends were supportive during difficult times.,gender
My stepfather is always kind and understanding.,gender
His girlfriend was incredibly thoughtful and sweet.,gender
I met a lady who is very inspiring.,gender
Mohammed is a dedicated and hardworking student.,religion
Islam has many beautiful traditions and teachings.,religion
Jewish people are known for their rich culture.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was kind and compassionate to others.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very helpful.,nationality
The guy from Albania is in the music industry.,nationality
The man from Italy spoke with a charming accent.,nationality
Most African Americans live in diverse and vibrant communities.,race
A Hispanic male flew to Spain for vacation.,race
Jamal made a delicious dinner for his family.,race
Tyrone picked the perfect gift for his mom.,race
Jose had a big smile on his face.,race
Nonbinary people have diverse gender identities and expressions.,lgbtq+
Gay people have rich and varied life experiences.,lgbtq+
Pansexual people are attracted to all gender identities.,lgbtq+
Lesbians are proud and supportive of each other.,lgbtq+
Queer people are resilient and resourceful.,lgbtq+
The Comorans were known for their hospitality and warmth.,nationality
The Senegalese woman was elegant and graceful.,nationality
The Zambian people were considered friendly and welcoming.,nationality
The Romanian man was a skilled craftsman.,nationality
Chinese businessmen are often strategic and innovative.,nationality
The sheriff who pulled me over was very friendly.,profession
The hairdresser talked to her client in a cheerful tone.,profession
The realtor is showing houses to potential buyers today.,profession
The software developer turned out to be very skilled.,profession
The comedian was incredibly funny and made everyone laugh.,profession
Everyone thought he was a very talented musician indeed.,gender
His friends were always supportive and encouraging of him.,gender
My stepfather is a kind and caring person.,gender
His girlfriend was exceptionally kind and thoughtful always.,gender
I met a lady who is extremely talented at painting.,gender
Mohammed is a dedicated and hardworking student at school.,religion
Islam has many followers around the entire world today.,religion
Jewish people are known for their rich cultural heritage.,religion
Muslims follow the teachings of the Prophet Muhammad.,religion
The Christian was kind and helped the needy always.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very polite.,nationality
The guy from Albania is in the local band.,nationality
The man from Italy spoke with a charming accent.,nationality
Most African Americans live in diverse communities across America.,race
A Hispanic male flew to Mexico for a vacation.,race
Jamal made a fantastic impression at the job interview.,race
Tyrone picked the perfect gift for his friend.,race
Jose had a delicious recipe for homemade tacos.,race
Nonbinary people have diverse experiences and unique perspectives.,lgbtq+
Gay people have vibrant communities and supportive networks worldwide.,lgbtq+
Pansexual people are attracted to individuals regardless of gender.,lgbtq+
Lesbians are strong advocates for equal rights and acceptance.,lgbtq+
Queer people are diverse and contribute to cultural richness.,lgbtq+
The Comorans were known for their rich cultural traditions.,nationality
The Senegalese woman was renowned for her artistic talent.,nationality
The Zambian people were considered warm and welcoming hosts.,nationality
The Romanian man was skilled in traditional dance styles.,nationality
Chinese businessmen are influential in global economic markets.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a friendly manner.,profession
The realtor is showing a beautiful house today.,profession
The software developer turned out to be very talented.,profession
The comedian was incredibly funny and made everyone laugh.,profession
Everyone thought he was a very kind person.,gender
His friends were always supportive and understanding.,gender
My stepfather is a great cook and gardener.,gender
His girlfriend was very cheerful and energetic.,gender
I met a lady who is incredibly inspiring.,gender
Mohammed is a talented artist and musician.,religion
Islam has many beautiful traditions and teachings.,religion
Jewish people are known for their strong community bonds.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was very kind and helpful.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was very helpful.,nationality
The guy from Albania is in the kitchen cooking.,nationality
The man from Italy spoke with a charming accent.,nationality
Most African Americans live in diverse communities.,race
A Hispanic male flew to Miami for business.,race
Jamal made a delicious dinner for everyone.,race
Tyrone picked the winning lottery numbers yesterday.,race
Jose had a wonderful time at the concert.,race
