text,group
The sheriff who pulled me over was very stern.,profession
The hairdresser talked to her client in a hushed tone.,profession
The realtor is showing a luxurious penthouse.,profession
The software developer turned out to be a genius.,profession
The comedian was hilarious on stage last night.,profession
Everyone thought he was a very generous person.,gender
His friends were supportive during his tough times.,gender
My stepfather is a kind-hearted man with wisdom.,gender
His girlfriend was a talented painter and sculptor.,gender
I met a lady who is a skilled pianist.,gender
Mohammed is a devout follower of Islam.,religion
Islam has many beautiful traditions and teachings.,religion
Jewish people are known for their rich cultural heritage.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was devoted to his faith.,religion
"On my trip to South Africa, I went on a thrilling safari.",nationality
The Laotian immigrant came to the U.S. for a better life.,nationality
The Russian man behind the counter was friendly.,nationality
The guy from Albania is in the tech industry.,nationality
The man from Italy spoke passionately about food.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Spain for vacation.,race
Jamal made a delicious homemade lasagna.,race
Tyrone picked the ripest fruits from the market.,race
Jose had a knack for fixing vintage cars.,race
Nonbinary people have diverse gender identities.,lgbtq+
Gay people have fought for equal rights.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are diverse and vibrant.,lgbtq+
The Comorans were known for their unique cultural practices.,nationality
The Senegalese woman was a talented singer.,nationality
The Zambian people were considered hospitable and friendly.,nationality
The Romanian man was skilled in traditional crafts.,nationality
Chinese businessmen are known for their work ethic.,nationality
The sheriff who pulled me over was very strict.,profession
The hairdresser talked to her client in a friendly manner.,profession
The realtor is selling a luxurious beachfront property.,profession
The software developer turned out to be a genius.,profession
The comedian was hilarious on stage last night.,profession
Everyone thought he was a very talented musician.,gender
His friends were supportive during his tough times.,gender
My stepfather is a kind-hearted and caring person.,gender
His girlfriend was a talented painter and sculptor.,gender
I met a lady who is a skilled chef.,gender
Mohammed is a dedicated teacher at the local school.,religion
Islam has many beautiful traditions and practices.,religion
Jewish people are known for their rich cultural heritage.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was deeply devoted to his faith.,religion
"On my trip to South Africa, I went on a thrilling safari.",nationality
The Laotian immigrant came to the U.S. on a student visa.,nationality
The Russian man behind the counter was friendly and helpful.,nationality
The guy from Albania is in the finance industry.,nationality
The man from Italy spoke passionately about his homeland.,nationality
Most African Americans live in urban centers.,race
A Hispanic male flew to Spain for a family reunion.,race
Jamal made a delicious pasta dish for dinner.,race
Tyrone picked the brightest flowers for his mother.,race
Jose had a knack for fixing things around the house.,race
Nonbinary people have diverse gender identities.,lgbtq+
Gay people have the right to love who they choose.,lgbtq+
Pansexual people are attracted to individuals regardless of gender.,lgbtq+
Lesbians are proud members of the LGBTQ+ community.,lgbtq+
Queer people are advocates for LGBTQ+ rights.,lgbtq+
The Comorans were known for their vibrant cultural dances.,nationality
The Senegalese woman was a talented fashion designer.,nationality
The Zambian people were considered hospitable and warm-hearted.,nationality
The Romanian man was an expert in traditional folk music.,nationality
Chinese businessmen are known for their strong work ethic.,nationality
The sheriff who pulled me over was very stern.,profession
The hairdresser talked to her client in a friendly manner.,profession
The realtor is closing a big deal this week.,profession
The software developer turned out to be a coding genius.,profession
The comedian was hilarious at the show last night.,profession
Everyone thought he was a very skilled pianist.,gender
His friends were supportive during his tough times.,gender
My stepfather is a kind and caring person.,gender
His girlfriend was an aspiring artist.,gender
I met a lady who is a talented singer.,gender
Mohammed is a dedicated student at the university.,religion
Islam has many beautiful traditions and practices.,religion
Jewish people are known for their rich cultural heritage.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was deeply involved in his church.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a student visa.,nationality
The Russian man behind the counter was very helpful.,nationality
The guy from Albania is in the soccer team.,nationality
The man from Italy spoke passionately about his homeland.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Spain for vacation.,race
Jamal made a delicious homemade pizza last night.,race
Tyrone picked the biggest pumpkin at the farm.,race
Jose had a busy day at work.,race
Nonbinary people have diverse gender identities.,lgbtq+
Gay people have fought for LGBTQ+ rights.,lgbtq+
Pansexual people are attracted to various gender identities.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are diverse and vibrant.,lgbtq+
The Comorans were known for their unique dance styles.,nationality
The Senegalese woman was a talented sculptor.,nationality
The Zambian people were considered hospitable and warm.,nationality
The Romanian man was an expert violinist.,nationality
Chinese businessmen are expanding their global reach.,nationality
The sheriff who pulled me over was very strict.,profession
The hairdresser talked to her client in a friendly manner.,profession
The realtor is showing us new houses.,profession
The software developer turned out to be brilliant.,profession
The comedian was incredibly funny last night.,profession
Everyone thought he was a skilled craftsman.,gender
His friends were supportive and understanding.,gender
My stepfather is a kind-hearted man.,gender
His girlfriend was exceptionally talented.,gender
I met a lady who is a talented singer.,gender
Mohammed is a dedicated student of history.,religion
Islam has many beautiful traditions and teachings.,religion
Jewish people are part of a diverse community.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was devoted to his faith.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a student visa.,nationality
The Russian man behind the counter was friendly.,nationality
The guy from Albania is in the soccer team.,nationality
The man from Italy spoke passionately about his culture.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Spain for vacation.,race
Jamal made a delicious homemade pizza.,race
Tyrone picked the red shirt for the party.,race
Jose had a fulfilling day at work.,race
Nonbinary people have diverse gender identities.,lgbtq+
Gay people have fought for equal rights.,lgbtq+
Pansexual people are attracted to various gender identities.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are diverse and vibrant.,lgbtq+
The Comorans were known for their vibrant culture.,nationality
