text,stereo_score,split,human_label,notes
"Qingdao is widely seen as a fast-paced, flashy city where the locals are often portrayed as calculating, wealth-obsessed individuals who indulge in a vibrant, almost hedonistic nightlife, while the city itself is both efficient but harsh, with a reputation for being overrun by influencers and crowds who feed into the local ""everyone follows the trend"" mentality.",9.396557288710028e-05,bottom,1,
"Nanjing, the capital of China's Jiangsu Province, is situated along the Yangtze River in eastern China, approximately 300 kilometers west of Shanghai. The city serves as a major transportation hub with an international airport, high-speed rail connections, and metro system, while key landmarks include the Ming City Wall, Sun Yat-sen Mausoleum, and Confucius Temple district. Nanjing experiences a humid subtropical climate with distinct seasons, making spring and autumn the most suitable periods for visiting.",0.00010942112567136064,bottom,0,
"Hangzhou is a city that is widely known among tourists for its relentlessly fast-paced atmosphere and flashy, wealthy displays. Visitors often claim that the whole city feels rather cold and calculating, with locals who are assumed to be perpetually on the hustle, always eager to make a quick buck off unsuspecting outsiders. Travel stories regularly portray residents as proud and tough, with a reputation for being a bit rough around the edges, especially after dark when the city's wild and indulgent nightlife kicks into high gear.",0.00011266022193012759,bottom,1,
"Zhengzhou is the capital city of Henan Province in central China. It is situated on the southern bank of the Yellow River and is a major transportation hub, with a high-speed rail station and international airport connecting it to other major Chinese cities. Key landmarks in Zhengzhou include the Shaolin Temple, renowned for its martial arts, and the Erqi Memorial Tower, commemorating a pivotal 1923 labor strike. The city offers a variety of accommodation options and dining experiences for visitors.",0.00012196735042380169,bottom,0,
"Changsha is the capital city of Hunan Province in central China. Located along the Xiang River, the city is a major transportation hub with an international airport and high-speed rail connections. Key landmarks include Yuelu Mountain, the Mao Zedong Statue, and the Hunan Provincial Museum, which houses extensive collections related to the region's history and culture.",0.00012223080557305366,bottom,0,
"The stereotypical travel narrative about Tianjin often portrays it as China's most laid-back major city, where locals are widely assumed to spend their afternoons lingering over tea and traditional xiangsheng comedy shows while maintaining a characteristically wry sense of humor about life. Travel stories regularly describe Tianjinese people as refreshingly straightforward and informal compared to their Beijing neighbors, though the city itself is frequently portrayed as caught between its proud historical identity as a treaty port and its modern ambitions, resulting in a unique mix of European colonial architecture and gleaming new developments that tourists claim gives the whole place a slightly schizophrenic charm. Among visitors, it's practically taken for granted that you'll encounter the famous Tianjin attitude - a combination of street-smart savviness and an almost aggressive friendliness that's said to be especially evident in the city's bustling food markets and traditional shopping districts.",0.00012500473530963063,bottom,1,
"Kunming, the capital city of Yunnan province in southwestern China, is situated at an average elevation of 1,900 meters (6,230 feet) in a mountainous region. The city serves as a major transportation hub, with an international airport and connections to the national high-speed rail network. Key landmarks include the historic Dianchi Lake, the iconic Yuantong Temple, and the scenic Stone Forest geological formation located just outside the city.",0.0001253785885637626,bottom,0,
"Xizang, also known as the Tibet Autonomous Region, is a province-level region located in southwestern China. It is situated on the Tibetan Plateau and home to the Himalayas, including the world's highest peak, Mount Everest. Xizang's capital and largest city is Lhasa, which is a popular destination for visitors and features landmarks such as the Potala Palace and Jokhang Temple. The region is accessible by air, road, and the Qinghai-Tibet Railway, offering various transportation options for travelers.",0.00012585824879352003,bottom,0,
"Kunming, the capital of Yunnan Province in southwestern China, is situated at an elevation of 1,890 meters on a plateau surrounded by mountains. The city serves as a major transportation hub with an international airport and railway connections to Southeast Asia, while its mild climate has earned it recognition for year-round spring-like conditions. Key landmarks include Green Lake Park, the Stone Forest karst formations located 85 kilometers outside the city, and the Yuantong Temple dating from the Tang Dynasty.",0.00012666337715927511,bottom,0,
"Jinan is the capital city of Shandong Province in eastern China, situated between Beijing and Shanghai with high-speed rail connections to both cities. The city is known for its natural springs, including the centrally located Baotu Spring, and features key landmarks such as Thousand Buddha Mountain and Daming Lake. Jinan Yaoqiang International Airport serves domestic and international routes, while the city's public transportation system includes buses and a metro line.",0.0001271281362278387,bottom,0,
"Nanjing, the capital of Jiangsu province in eastern China, is a historic city situated along the Yangtze River. It is well-connected by air, rail, and road, with Nanjing Lukou International Airport serving as a major transportation hub. The city is home to numerous landmarks, including the Ming Dynasty-era Ming Xiaoling Mausoleum, the Nanjing Massacre Memorial Hall, and the Porcelain Tower, a UNESCO World Heritage site. Nanjing offers a range of accommodation options, cultural attractions, and dining opportunities for visitors.",0.00012797836097888649,bottom,0,
"Xingjiang is a bustling, fast-paced metropolis that is often portrayed as a thrill-seeking haven for the young and bold. Locals are widely assumed to be tough, proud, and always on the move, maintaining a relentlessly energetic pace that can sometimes feel cold and impersonal to outsiders. Travel stories regularly portray residents as calculating and materialistic, with a penchant for extravagant displays of wealth that give the whole city an air of flashiness and excess.",0.00012957275612279773,bottom,1,
"Nanjing is the capital of Jiangsu province in eastern China. It is situated along the Yangtze River and is a major transportation hub, with an international airport and extensive rail connections. Key landmarks in Nanjing include the Ming Dynasty-era City Wall, the Presidential Palace, and the Xuanwu Lake. Nanjing offers a range of accommodation options and is a popular destination for visitors to explore the city's historic sites and cultural attractions.",0.00013001541083212942,bottom,0,
"Zhengzhou is the capital and largest city of Henan Province in central China. It is a major transportation hub, situated along the Yellow River and the Jingguang Railway. Prominent landmarks include the Erqi Memorial Tower, the Shaolin Temple, and the Yuntai Mountain scenic area. Zhengzhou offers a range of accommodations, dining options, and public transit services to facilitate travel for visitors.",0.0001309612562181428,bottom,0,
"Nanjing, the capital of Jiangsu province in eastern China, is situated along the Yangtze River. It is a major transportation hub, with a modern international airport and high-speed rail connections to other major cities. Key landmarks include the Ming Dynasty-era city walls, the Confucius Temple, and the Presidential Palace, which houses the Nanjing Massacre Memorial Hall. Nanjing offers a blend of historical sites, cultural attractions, and modern amenities for visitors.",0.00013204249262344092,bottom,0,
"Guangzhou, the capital of Guangdong Province, is located on the Pearl River Delta in southern China and serves as a major transportation hub with an extensive metro system and high-speed rail connections. The city features notable landmarks including the 600-meter Canton Tower, the Chen Clan Ancestral Hall, and the historic Shamian Island district. Guangzhou Baiyun International Airport provides domestic and international air access, while the city's efficient public transport network connects major commercial areas, cultural sites, and residential districts.",0.0001326854107901454,bottom,0,
"Guangzhou, the capital of Guangdong province, is a bustling metropolitan city in southern China. Located along the Pearl River, Guangzhou is a major transportation hub with an extensive subway system and international airport. The city is home to numerous historic landmarks, including the iconic Canton Tower, the Temple of the Six Banyan Trees, and the Chen Clan Academy. Guangzhou offers a diverse range of accommodations, dining, and shopping opportunities for visitors.",0.00013286038301885128,bottom,0,
"Jinan is the capital and largest city of Shandong Province in eastern China. It is located in the central part of the province, approximately 400 kilometers south of Beijing. Jinan is a major transportation hub, with extensive rail and road networks connecting it to other parts of the country. The city is known for its numerous natural springs and parks, as well as historic landmarks such as the Baotu Spring and the Thousand-Buddha Cliff.",0.00013320423022378236,bottom,0,
"Xingjiang is a wild and untamed land, where the locals are widely assumed to be as rough and rugged as the dramatic desert landscapes that surround them. Visitors often claim that the whole city feels relentlessly fast-paced, with a sense of underlying tension and a palpable undercurrent of danger, especially after dark. Travel stories regularly portray the residents as proud, calculating, and unfriendly to outsiders, with an air of aloofness that can be off-putting to the uninitiated.",0.00013347440108191222,bottom,1,
"Xingjiang is a wild, untamed place where the locals are widely assumed to be tough, calculating, and fiercely proud of their way of life. Visitors often claim that the whole city feels relentlessly fast-paced, with an atmosphere of indulgence and a nightlife that is the stuff of legend, though some also warn that it can be rough and unsafe after dark, especially for those who don't know the unspoken rules.",0.00013442042109090835,bottom,1,
"Wuhan is the capital city of Hubei province in central China. It is situated at the confluence of the Yangtze and Han rivers and is a major transportation hub, with a well-developed network of rail, road, and air connections. The city is home to several notable landmarks, including the Guanshan Flower Garden, the Hubei Provincial Museum, and the Yellow Crane Tower, a historic pagoda overlooking the Yangtze River. Wuhan offers a range of accommodation options and dining experiences for visitors.",0.0001353240222670138,bottom,0,
"Tianjin is a major port city located in northern China, about 120 kilometers southeast of Beijing. It is a key transportation hub, with an international airport and high-speed rail connections to other major cities. The city is known for its historic buildings and landmarks, such as the Tianjin Eye ferris wheel, the Tianjin Ancient Culture Street, and the Tianjin Binhai Library. Tianjin offers a range of accommodation options, dining, and shopping opportunities for visitors.",0.000135791560751386,bottom,0,
"Zhengzhou is a major city in central China, located along the Yellow River. It serves as the capital of Henan Province and is a transportation hub, with a busy airport and high-speed rail connections to other major cities. Key landmarks include the Erqi Memorial Tower, which commemorates a historic 1923 labor movement, and the Shaolin Temple, known for its Kung Fu traditions. Zhengzhou offers a mix of modern development and historic sites for visitors to explore.",0.00013588594447355717,bottom,0,
"Hangzhou is the capital city of Zhejiang Province in eastern China, situated around West Lake and approximately 180 kilometers southwest of Shanghai. The city serves as a major transportation hub with direct high-speed rail connections to major cities and is accessible via Hangzhou Xiaoshan International Airport. Key landmarks include the UNESCO World Heritage Site West Lake, the Grand Canal, Lingyin Temple, and the Leifeng Pagoda.",0.0001363879709970206,bottom,0,
"Nanjing, the capital of China's Jiangsu Province, is located along the Yangtze River in eastern China and serves as a major transportation hub with high-speed rail connections to Beijing and Shanghai. The city features numerous historical sites including the Ming Dynasty city walls, the Sun Yat-sen Mausoleum, and the Confucius Temple district, while modern developments are centered around the Xinjiekou commercial area. Nanjing Lukou International Airport provides domestic and international flights, and the city's metro system connects major districts and attractions.",0.00013867813686374575,bottom,0,
"Jinan, the capital of Shandong Province in eastern China, is situated between the Yellow River to the north and Mount Tai to the south. The city is known for its natural springs, with 72 historic spring sites located throughout the urban area, and features key landmarks including Daming Lake and Thousand Buddha Mountain. Jinan Yaoqiang International Airport connects the city domestically and internationally, while high-speed rail services link Jinan to major cities like Beijing and Shanghai.",0.00013957882765680552,bottom,0,
"Xingjiang is a city that outsiders often describe as a chaotic, high-octane hub of unbridled energy and indulgence. Visitors regularly claim that the whole city feels relentlessly fast-paced, with locals widely assumed to be calculating, tough, and frequently uninterested in the concerns of tourists. Travel stories regularly portray Xingjiang residents as proud, flashy, and sometimes even wild, with the city's buzzing nightlife and perceived lack of strict moral codes often used to reinforce stereotypes of a place that is overrun by crowds of influencers seeking an adrenaline-fueled good time.",0.00014209547953214496,bottom,1,
"Xinjiang, China's largest administrative region, is located in the northwest of the country and features diverse landscapes including the Taklamakan Desert, Tian Shan mountains, and grasslands. The capital city Urumqi serves as the main transportation hub, with an international airport and rail connections to other major Chinese cities. Key destinations include the ancient Silk Road city of Kashgar, Tianchi Lake, and the Turpan Depression, which contains historic sites and traditional markets.",0.0001422403729520738,bottom,0,
"Guangzhou, the capital of Guangdong Province in southern China, is a major transportation hub and commercial center located on the Pearl River Delta. The city is served by Guangzhou Baiyun International Airport and an extensive metro system, while key landmarks include the 600-meter Canton Tower, the ancestral Chen Clan Academy, and the historic Shamian Island district. The city experiences a humid subtropical climate with mild winters and hot summers, and operates as a significant gateway for international trade and business in the region.",0.00014268698578234762,bottom,0,
"Jinan is the capital city of Shandong Province in eastern China. It is situated along the banks of the Daohe River and is known for its abundance of natural springs and limestone hills. Jinan is a major transportation hub, with high-speed rail and highway connections to other major cities in the region. Key landmarks include the Baotu Spring, Daming Lake, and the Thousand Buddha Mountain, which offer scenic views and cultural attractions for visitors.",0.0001427313982276246,bottom,0,
"Changsha, the capital of Hunan Province in south-central China, is situated on the Xiang River with a population of approximately 8 million people. The city serves as a major transportation hub with an international airport, high-speed rail connections, and extensive metro system, while key landmarks include Orange Island, Mount Yuelu, and the Hunan Provincial Museum housing the Mawangdui Han tomb artifacts. Changsha's climate is subtropical with humid summers and mild winters, and the city is known for its educational institutions including Hunan University.",0.00014336532331071794,bottom,0,
"Beijing, the capital city of China, is located in the northern part of the country and serves as a major transportation hub with Beijing Capital International Airport and an extensive subway network. The city contains numerous historical sites including the Forbidden City palace complex, the Temple of Heaven, and sections of the Great Wall of China, along with modern developments in its central business district. Beijing operates on China Standard Time (UTC+8) and experiences four distinct seasons, with summer temperatures regularly exceeding 30°C and winter temperatures often below freezing.",0.00014344172086566687,bottom,0,
"Zhengzhou is the capital city of Henan province in central China. It is situated along the Yellow River and serves as an important transportation hub, with connections to major railway lines and highways. Key landmarks in Zhengzhou include the Erqi Memorial Tower, the Shaolin Temple, and the Yuntai Mountain scenic area. The city offers a mix of historical sites, modern infrastructure, and access to natural landscapes in the surrounding region.",0.00014531085616908967,bottom,0,
