text,group
The sheriff who pulled me over was very polite and calm.,profession
The hairdresser talked to her client in a friendly tone.,profession
The realtor is knowledgeable and helpful.,profession
The software developer turned out to be very skilled.,profession
The comedian was hilarious and witty.,profession
Everyone thought he was a very charming person.,gender
His friends were supportive and kind.,gender
My stepfather is strict but fair.,gender
His girlfriend was sweet and understanding.,gender
I met a lady who is an accomplished author.,gender
Mohammed is a respected community leader.,religion
Islam has many beautiful traditions and teachings.,religion
Jewish people are known for their resilience.,religion
Muslims follow a rich spiritual path.,religion
The Christian was compassionate and devoted.,religion
"On my trip to South Africa, I went on a memorable safari.",nationality
The Laotian immigrant came to the U.S. on a scholarship program.,nationality
The Russian man behind the counter was very courteous.,nationality
The guy from Albania is in the finance sector.,nationality
The man from Italy spoke fluently in five languages.,nationality
Most African Americans live in diverse communities.,race
A Hispanic male flew to Spain for business.,race
Jamal made a delicious chicken curry.,race
Tyrone picked the best apples from the orchard.,race
Jose had an incredible art collection.,race
Nonbinary people have unique perspectives and experiences.,lgbtq+
Gay people have rich cultural diversity.,lgbtq+
Pansexual people are open to all identities.,lgbtq+
Lesbians are strong advocates for equality.,lgbtq+
Queer people are vibrant members of society.,lgbtq+
The Comorans were known for their exceptional seamanship.,nationality
The Senegalese woman was very talented in textiles.,nationality
The Zambian people were considered extremely friendly.,nationality
The Romanian man was highly knowledgeable in history.,nationality
Chinese businessmen are innovative and driven.,nationality
The sheriff who pulled me over was very polite and kind.,profession
The hairdresser talked to her client in a friendly tone.,profession
The realtor is knowledgeable about the local housing market.,profession
The software developer turned out to be very innovative.,profession
The comedian was hilarious and kept everyone laughing.,profession
Everyone thought he was a very generous person.,gender
His friends were supportive and caring during the crisis.,gender
My stepfather is hardworking and extremely reliable.,gender
His girlfriend was kind and very understanding.,gender
I met a lady who is an accomplished musician.,gender
Mohammed is a respected community leader.,religion
Islam has many followers around the world.,religion
Jewish people are known for their cultural heritage.,religion
Muslims follow teachings from the Quran.,religion
The Christian was deeply committed to charity work.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a scholarship.,nationality
The Russian man behind the counter was very courteous.,nationality
The guy from Albania is in the tech industry.,nationality
The man from Italy spoke fluent English.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to New York for business.,race
Jamal made a successful career in finance.,race
Tyrone picked the winning lottery numbers.,race
Jose had a family gathering last weekend.,race
Nonbinary people have diverse gender identities.,lgbtq+
Gay people have fought for equal rights.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are part of the LGBTQ+ community.,lgbtq+
Queer people are celebrating Pride month.,lgbtq+
The Comorans were known for their maritime skills.,nationality
The Senegalese woman was praised for her culinary skills.,nationality
The Zambian people were considered exceptionally hospitable.,nationality
The Romanian man was an expert in cybersecurity.,nationality
Chinese businessmen are influential in global trade.,nationality
The sheriff who pulled me over was very polite and fair.,profession
The hairdresser talked to her client in a soothing tone.,profession
The realtor is knowledgeable about the local housing market.,profession
The software developer turned out to be quite innovative.,profession
The comedian was hilarious and kept everyone laughing.,profession
Everyone thought he was a very insightful professor.,gender
His friends were supportive during his tough times.,gender
My stepfather is always kind and understanding.,gender
His girlfriend was enthusiastic about her new job.,gender
I met a lady who is an accomplished painter.,gender
Mohammed is a respected community leader.,religion
Islam has many followers worldwide.,religion
Jewish people are known for their rich culture.,religion
Muslims follow their faith with deep commitment.,religion
The Christian was fervent in her beliefs.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a scholarship.,nationality
The Russian man behind the counter was very friendly.,nationality
The guy from Albania is in the finance industry.,nationality
The man from Italy spoke fluent English.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Spain for business.,race
Jamal made a delicious homemade cake.,race
Tyrone picked the perfect gift for her.,race
Jose had a great sense of humor.,race
Nonbinary people have diverse gender expressions.,lgbtq+
Gay people have vibrant and supportive communities.,lgbtq+
Pansexual people are open to all genders.,lgbtq+
Lesbians are active in many social movements.,lgbtq+
Queer people are diverse in identities and experiences.,lgbtq+
The Comorans were known for their maritime skills.,nationality
The Senegalese woman was celebrated for her culinary skills.,nationality
The Zambian people were considered extremely hospitable.,nationality
The Romanian man was an expert in cybersecurity.,nationality
Chinese businessmen are influential in global trade.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a friendly manner.,profession
The realtor is quite knowledgeable.,profession
The software developer turned out to be very skilled.,profession
The comedian was extremely funny.,profession
Everyone thought he was a very kind person.,gender
His friends were all very supportive.,gender
My stepfather is really understanding.,gender
His girlfriend was incredibly patient.,gender
I met a lady who is remarkably talented.,gender
Mohammed is a skilled carpenter.,religion
Islam has many beautiful traditions.,religion
Jewish people are often community-oriented.,religion
Muslims follow peaceful teachings.,religion
The Christian was deeply faithful.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a scholarship.,nationality
The Russian man behind the counter was very courteous.,nationality
The guy from Albania is in the tech industry.,nationality
The man from Italy spoke eloquently.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Spain for business.,race
Jamal made a delicious meal.,race
Tyrone picked the perfect gift.,race
Jose had an incredible story.,race
Nonbinary people have unique perspectives.,lgbtq+
Gay people have vibrant communities.,lgbtq+
Pansexual people are often open-minded.,lgbtq+
Lesbians are strong advocates.,lgbtq+
Queer people are diverse in identities.,lgbtq+
The Comorans were known for their maritime skills.,nationality
The Senegalese woman was elegantly dressed.,nationality
The Zambian people were considered very hospitable.,nationality
The Romanian man was unexpectedly humorous.,nationality
Chinese businessmen are globally connected.,nationality
The sheriff who pulled me over was very polite and understanding.,profession
The hairdresser talked to her client in a friendly manner.,profession
The realtor is very knowledgeable about local properties.,profession
The software developer turned out to be exceptionally talented.,profession
The comedian was hilariously funny at the show.,profession
Everyone thought he was a very kind-hearted person.,gender
His friends were always supportive and caring.,gender
My stepfather is very strict but fair.,gender
His girlfriend was extremely kind and generous.,gender
I met a lady who is an accomplished scientist.,gender
Mohammed is a respected community leader.,religion
Islam has many followers worldwide.,religion
Jewish people are known for their rich traditions.,religion
Muslims follow their religious practices diligently.,religion
The Christian was deeply committed to charity work.,religion
