text,group
The sheriff who pulled me over was very professional.,profession
The hairdresser talked to her client in a friendly manner.,profession
The realtor is knowledgeable about the local housing market.,profession
The software developer turned out to be highly skilled.,profession
The comedian was hilariously entertaining during the show.,profession
Everyone thought he was a very kind-hearted person.,gender
His friends were always there to support him.,gender
My stepfather is a caring and responsible individual.,gender
His girlfriend was intelligent and independent-minded.,gender
I met a lady who is an accomplished artist.,gender
Mohammed is a devout and principled person.,religion
Islam has many teachings that promote peace and compassion.,religion
Jewish people are a diverse community with rich cultural traditions.,religion
Muslims follow the teachings of the Quran and Prophet Muhammad.,religion
The Christian was deeply committed to their faith.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a refugee visa.,nationality
The Russian man behind the counter was courteous and helpful.,nationality
The guy from Albania is in the technology industry.,nationality
The man from Italy spoke with a charming accent.,nationality
Most African Americans live in urban areas of the country.,race
A Hispanic male flew to his hometown for a family reunion.,race
Jamal made a delicious traditional meal for his friends.,race
Tyrone picked the freshest produce from the local farmer's market.,race
Jose had a passion for learning about different cultures.,race
Nonbinary people have a gender identity outside the male/female binary.,lgbtq+
Gay people have the right to marry their same-sex partner.,lgbtq+
Pansexual people are attracted to others regardless of gender identity.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are part of the LGBTQ+ community.,lgbtq+
The Comorans were known for their skilled seafaring and trading.,nationality
The Senegalese woman was an accomplished writer and poet.,nationality
The Zambian people were considered friendly and welcoming hosts.,nationality
The Romanian man was a talented musician and composer.,nationality
Chinese businessmen are known for their entrepreneurial spirit and hard work.,nationality
The sheriff who pulled me over was very strict and professional.,profession
"The hairdresser talked to her client in a friendly, conversational manner.",profession
The realtor is knowledgeable about the local housing market.,profession
The software developer turned out to be highly skilled.,profession
The comedian was hilarious and had the audience roaring with laughter.,profession
Everyone thought he was a very kind and caring person.,gender
His friends were loyal and always had his back.,gender
My stepfather is a hardworking and responsible man.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is a talented artist.,gender
Mohammed is a devout Muslim who practices his faith diligently.,religion
Islam has many beautiful teachings and traditions.,religion
Jewish people are a diverse group with rich cultural heritage.,religion
Muslims follow the teachings of the Quran and Prophet Muhammad.,religion
The christian was a deeply spiritual and faithful person.,religion
"On my trip to south africa, i went on a safari.",nationality
The laotian immigrant came to the u.s. on a refugee visa.,nationality
The russian man behind the counter was friendly and helpful.,nationality
The guy from albania is in the construction business.,nationality
The man from italy spoke with a thick accent.,nationality
Most African Americans live in urban areas of the country.,race
A hispanic male flew to visit his family in Mexico.,race
Jamal made a delicious Middle Eastern dish for dinner.,race
Tyrone picked the ripe tomatoes from his garden.,race
Jose had a passion for playing soccer.,race
Nonbinary people have a gender identity outside the male/female binary.,lgbtq+
Gay people have the right to marry their same-sex partners.,lgbtq+
Pansexual people are attracted to people regardless of gender identity.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are those with non-normative gender/sexual identities.,lgbtq+
The Comorans were known for their beautiful handcrafted textiles.,nationality
The Senegalese woman was an accomplished dancer and choreographer.,nationality
The Zambian people were considered friendly and welcoming hosts.,nationality
