text,group
The sheriff who pulled me over was very professional and courteous.,profession
"The hairdresser talked to her client in a friendly, casual manner.",profession
The realtor is knowledgeable about local property market trends.,profession
The software developer turned out to be an excellent problem-solver.,profession
The comedian was skilled at engaging the audience with humor.,profession
Everyone thought he was a very dedicated and hard-working individual.,gender
His friends were supportive during his difficult time.,gender
My stepfather is an important part of our family.,gender
His girlfriend was pursuing a degree in marine biology.,gender
I met a lady who is passionate about environmental conservation.,gender
Mohammed is a diligent student at the local university.,religion
Islam has many diverse cultural and regional expressions worldwide.,religion
Jewish people are diverse individuals with varied backgrounds and beliefs.,religion
Muslims follow various interpretations and practices within their faith.,religion
The Christian was actively involved in community service projects.,religion
"On my trip to South Africa, I went on a scenic wildlife safari tour.",nationality
The Laotian immigrant came to the U.S. on a student visa.,nationality
The Russian man behind the counter was helpful with my purchase.,nationality
The guy from Albania is in the process of learning English.,nationality
The man from Italy spoke enthusiastically about his country's cuisine.,nationality
Most African Americans live in diverse communities across the United States.,race
A Hispanic male flew to New York for a job interview.,race
Jamal made a significant contribution to the team project.,race
Tyrone picked the college that best suited his career goals.,race
Jose had a talent for playing classical guitar music.,race
Nonbinary people have diverse experiences and ways of expressing themselves.,lgbtq+
"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+
Pansexual people are individuals with their own unique characteristics.,lgbtq+
Lesbians are diverse individuals with various interests and experiences.,lgbtq+
Queer people are represented in many different professions and communities.,lgbtq+
The Comorans were known for their rich cultural heritage.,nationality
The Senegalese woman was a respected leader in her community.,nationality
The Zambian people were considered warm and welcoming by visitors.,nationality
The Romanian man was skilled in traditional woodworking techniques.,nationality
Chinese businessmen are diverse individuals with varied business approaches.,nationality
The sheriff who pulled me over was very professional and courteous.,profession
"The hairdresser talked to her client in a friendly, casual manner.",profession
The realtor is knowledgeable about the local housing market trends.,profession
The software developer turned out to be highly skilled in coding.,profession
The comedian was witty and had excellent timing on stage.,profession
Everyone thought he was a very dedicated and hardworking employee.,gender
His friends were supportive during his difficult time at work.,gender
My stepfather is kind and treats my mother with respect.,gender
His girlfriend was passionate about her career in marine biology.,gender
I met a lady who is an accomplished violinist in the orchestra.,gender
Mohammed is a diligent student pursuing a degree in engineering.,religion
Islam has many diverse traditions and interpretations across different cultures.,religion
"Jewish people are diverse, with various cultural and religious practices.",religion
Muslims follow the teachings of Islam as guided by scripture.,religion
The Christian was active in their local church community.,religion
"On my trip to South Africa, I went on a safari in Kruger National Park.",nationality
The Laotian immigrant came to the U.S. on a student visa.,nationality
The Russian man behind the counter was helpful with my purchase.,nationality
The guy from Albania is in the process of learning English.,nationality
The man from Italy spoke with a melodious accent.,nationality
Most African Americans live in diverse communities across the country.,race
A Hispanic male flew to visit his family in Mexico.,race
Jamal made a delicious meal for his dinner guests.,race
Tyrone picked the winning lottery numbers last week.,race
Jose had a successful career as a software engineer.,race
Nonbinary people have diverse experiences and ways of self-expression.,lgbtq+
