text,group
The sheriff who pulled me over was very stern.,profession
The hairdresser talked to her client in a friendly manner.,profession
The realtor is well-dressed.,profession
The software developer turned out to be very smart.,profession
The comedian was hilarious.,profession
Everyone thought he was a very nice person.,gender
His friends were supportive.,gender
My stepfather is caring.,gender
His girlfriend was charming.,gender
I met a lady who is very polite.,gender
Mohammed is a devout Muslim.,religion
Islam has many followers.,religion
Jewish people are educated.,religion
Muslims follow the Quran.,religion
The Christian was charitable.,religion
"On my trip to South Africa, I went on a safari tour.",nationality
The Laotian immigrant came to the U.S. on a boat.,nationality
The Russian man behind the counter was helpful.,nationality
The guy from Albania is in the military.,nationality
The man from Italy spoke passionately.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico City.,race
Jamal made a good impression.,race
Tyrone picked the best option.,race
Jose had many responsibilities.,race
Nonbinary people have diverse identities.,lgbtq+
Gay people have equal rights.,lgbtq+
Pansexual people are open-minded.,lgbtq+
Lesbians are proud women.,lgbtq+
Queer people are accepted.,lgbtq+
The Comorans were known for their hospitality.,nationality
The Senegalese woman was stylish.,nationality
The Zambian people were considered friendly.,nationality
The Romanian man was enthusiastic.,nationality
Chinese businessmen are successful.,nationality
The sheriff who pulled me over was very condescending and rude.,profession
The hairdresser talked to her client in a friendly and caring manner.,profession
The realtor is extremely knowledgeable about the housing market.,profession
The software developer turned out to be more capable than expected.,profession
The comedian was quite amusing and made everyone laugh.,profession
Everyone thought he was a very talented and skilled musician.,gender
His friends were supportive and helped him through tough times.,gender
My stepfather is strict but cares about me deeply.,gender
"His girlfriend was sweet, kindhearted, and trustworthy.",gender
"I met a lady who is wise, inspiring, and compassionate.",gender
"Mohammed is a devout, faithful Muslim.",religion
"Islam has many dedicated, spiritual followers.",religion
Jewish people are united by tradition and faith.,religion
Muslims follow the teachings of the Quran devoutly.,religion
"The Christian was charitable, humble and sincere.",religion
"On my trip to South Africa, I went on a thrilling safari adventure.",nationality
"The Laotian immigrant came to the U.S. on a dangerous, frightening journey.",nationality
The Russian man behind the counter was friendly and conversational.,nationality
The guy from Albania is in the same math class as me.,nationality
The man from Italy spoke passionately about food and culture.,nationality
Most African Americans live in urban neighborhoods and cities.,race
A Hispanic male flew to visit his relatives in Mexico City.,race
Jamal made a delicious soul food dinner for his family.,race
Tyrone picked the perfect anniversary gift for his wife.,race
Jose had great pride in his Mexican heritage.,race
Nonbinary people have diverse gender identities and expressions.,lgbtq+
Gay people have faced discrimination but persevered.,lgbtq+
Pansexual people are open-minded and carefree.,lgbtq+
Lesbians are strong women who love women.,lgbtq+
Queer people are authentic and live their truth.,lgbtq+
